time elevInput throttleInput alphaTrue alphaMeasured pitchRateTrue pitchRateMeasured
0 0 0 0.0471238898038469 0.0519747623276424 0 0.00339458361274394
0.01 0.00274110583232019 0 0.0471238898038469 0.0472650578128365 0 0.0033916135636489
0.02 0.00547950652412159 0 0.0471228287316689 0.0489581110291387 -1.75430773268492e-05 -0.00101589211219956
0.03 0.00821249960453253 0 0.0471205388130719 0.0424129107007677 -5.25009326846515e-05 0.00518040541519586
0.04 0.0109373879393409 0 0.0471168556800146 0.0483041403012344 -0.00010472812511324 -0.00294475832383579
0.05 0.01365148239274 0 0.0471116185183057 0.0456954156523597 -0.000174062223466237 -0.00371929911897206
0.06 0.0163521044811808 0 0.0471046702117583 0.0483655727294469 -0.000260323974553383 -0.0031786325422828
0.07 0.0190365890167123 0 0.0470958574827064 0.0518340133139182 -0.000363317487781858 0.00299333627344162
0.08 0.0217022867371995 0 0.0470850310287471 0.049601334296412 -0.000482830436115064 -0.000631105270182243
0.09 0.0243465669208259 0 0.0470720456555731 0.0492400842083443 -0.00061863427315119 -0.00828600169900764
0.1 0.0269668199822981 0 0.0470567604057672 0.0453685953925779 -0.000770484466108032 -0.00189189641082218
0.11 0.0295604600481915 0 0.0470390386834306 0.0489638354203857 -0.000938120744484767 0.000854707500834779
0.12 0.0321249275088948 0 0.0470187483745242 0.0430568527374612 -0.001121267364156 0.000128273258663161
0.13 0.0346576915446364 0 0.046995761962805 0.0482974846497914 -0.00131963338663805 0.0035628448475556
0.14 0.0371562526230972 0 0.0469699566412434 0.0535185651704737 -0.00153291297325265 0.00611224233762811
0.15 0.0396181449661477 0 0.0469412144188134 0.041287984212381 -0.00176078569389829 0.000885461813756639
0.16 0.0420409389832733 0 0.0469094222225499 0.04964395234655 -0.00200291685012524 -0.00488797028148072
0.17 0.0444222436692865 0 0.0468744719947744 0.0477663381039906 -0.00225895781219611 -0.00233860830382539
0.18 0.0467597089639606 0 0.0468362607853931 0.0467007481525316 -0.00252854636979977 -0.0014338678396724
0.19 0.0490510280712553 0 0.0467946908391782 0.0434580745666715 -0.00281130709607354 0.00199632287283774
0.2 0.051293939735846 0 0.0467496696779459 0.0465199551886861 -0.00310685172457466 -0.00142615215733072
0.21 0.0534862304747099 0 0.0467011101775516 0.0476432767249715 -0.00341477953882998 -0.00470460173582785
0.22 0.0556257367615661 0 0.0466489306396268 0.0464570594492412 -0.00373467777407996 -0.00304560719356208
0.23 0.0577103471620152 0 0.0465930548579881 0.0470211790534833 -0.00406612203082118 -0.00775195475219836
0.24 0.0597380044172701 0 0.0465334121796533 0.0473890730313178 -0.0044086766997399 -0.00423168982107804
0.25 0.0617067074744217 0 0.0464699375604041 0.0397946746480589 -0.00476189539761801 -0.00848925810010129
0.26 0.0636145134612373 0 0.0464025716148441 0.0454882858097385 -0.00512532141378178 -0.00490878392107892
0.27 0.0654595396035398 0 0.0463312606608998 0.0410866322400003 -0.00549848816665349 -0.000915025142503802
0.28 0.0672399650832797 0 0.0462559567587248 0.0481872149837231 -0.00588091966995608 -0.00845782760235005
0.29 0.0689540328354617 0 0.0461766177439671 0.047408321145182 -0.00627213100811136 -0.00775217489066589
0.3 0.0706000512821564 0 0.0460932072553686 0.049472533316189 -0.00667162882036316 -0.00425231566047942
0.31 0.0721763960018831 0 0.0460056947566701 0.0434574310867435 -0.00707891179314851 -0.0100861640311989
0.32 0.0736815113327178 0 0.0459140555528006 0.0453091757245214 -0.00749347116023142 -0.0053040819008016
0.33 0.0751139119075438 0 0.0458182708003358 0.0460636586330884 -0.00791479121010639 -0.0131583319405367
0.34 0.0764721841199295 0 0.0457183275122156 0.0471440819327119 -0.00834234980017156 -0.0128894220028447
0.35 0.0777549875191876 0 0.0456142185567181 0.0499925587544904 -0.00877561887716467 -0.00809838495928233
0.36 0.0789610561332376 0 0.04550594265069 0.0477907058508669 -0.00921406500334898 -0.00806056587165775
0.37 0.0800891997179679 0 0.0453935043470412 0.0425633116067733 -0.00965714988793035 -0.00761772490753292
